date,issued,da_am,m1_am,open_spread,stor_D1,gap_vol,gap_morning,vol21,p_up,confidence,pred,ref_trade,pilot_trade
2026-08-12,2026-08-12 09:24,60.7,60.55,0.15,5.32,-0.314,0.318,0.168,0.3987,0.1013,-1,True,False
2026-08-12,2026-08-12 09:39,60.7,60.68,0.02,5.32,-0.314,0.188,0.168,0.4085,0.0915,-1,False,False
2026-08-11,2026-08-12 10:30 (backfill),60.951,61.073,-0.123,1.85,-0.314,0.046,0.168,0.4355,0.0645,-1,False,False
2026-08-13,2026-08-13 21:49,59.6,59.94,-0.34,12.62,-1.102,0.007,0.211,0.3818,0.1182,-1,True,False
2026-08-13,2026-08-13 21:54,59.6,59.94,-0.34,12.62,-1.102,0.007,0.211,0.3818,0.1182,-1,True,False
2026-08-13,2026-08-13 21:57,59.6,59.94,-0.34,12.62,-1.102,0.007,0.211,0.3818,0.1182,-1,True,False
2026-08-14,2026-08-14 10:03,60.42,60.66,-0.24,28.33,-1.102,0.107,0.211,0.3088,0.1912,-1,True,False
